Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Buster Posey\poseybu01,25,148,610,530,78,178,39,1,24,103,1,1,69,96,.336,.408,.549,.957,171,291,19,2,0,9,7
2,1B,Brandon Belt*\beltbr01,24,145,472,411,47,113,27,6,7,56,12,2,54,106,.275,.360,.421,.781,123,173,2,3,0,4,5
3,2B,Ryan Theriot\theriry01,32,104,384,352,45,95,16,1,0,28,13,5,24,47,.270,.316,.321,.637,83,113,12,1,4,3,1
4,SS,Brandon Crawford*\crawfbr01,25,143,476,435,44,108,26,3,4,45,1,4,33,95,.248,.304,.349,.653,86,152,4,3,2,3,6
5,3B,Pablo Sandoval#\sandopa01,25,108,442,396,59,112,25,2,12,63,1,1,38,59,.283,.342,.447,.789,123,177,13,1,0,7,4
6,LF,Melky Cabrera#\cabreme01,27,113,501,459,84,159,25,10,11,60,13,5,36,63,.346,.390,.516,.906,157,237,8,0,1,5,4
7,CF,Angel Pagan#\paganan01,30,154,659,605,95,174,38,15,8,56,29,7,48,97,.288,.338,.440,.778,120,266,6,0,2,4,5
8,RF,Hunter Pence\pencehu01,29,59,248,219,28,48,11,2,7,45,1,0,19,60,.219,.287,.384,.671,90,84,1,4,1,5,1
9,OF,Gregor Blanco*\blancgr01,28,141,453,393,56,96,14,5,5,34,26,6,51,104,.244,.333,.344,.676,94,135,0,2,5,2,2
10,IF,Joaquin Arias\ariasjo01,27,112,344,319,30,86,13,5,5,34,5,1,13,44,.270,.304,.389,.693,97,124,12,5,2,5,4
11,2B,Marco Scutaro\scutama01,36,61,268,243,40,88,16,1,3,44,2,1,13,14,.362,.385,.473,.859,144,115,7,0,6,6,0
12,C,Hector Sanchez#\sanchhe01,22,74,227,218,22,61,15,0,3,34,0,0,5,52,.280,.295,.390,.685,94,85,8,1,0,3,0
13,RF,Nate Schierholtz*\schiena01,28,77,196,175,15,44,4,5,5,16,3,2,18,36,.251,.321,.417,.739,109,73,1,1,0,2,2
14,2B,Emmanuel Burriss#\burriem01,27,60,150,136,15,29,1,0,0,7,5,3,10,25,.213,.270,.221,.491,43,30,6,1,2,1,1
15,1B,Brett Pill\pillbr01,27,48,114,105,10,22,3,0,4,11,1,0,6,19,.210,.265,.352,.618,75,37,5,2,1,0,1
16,UT,Aubrey Huff*\huffau01,35,52,95,78,7,15,4,0,1,7,0,0,16,12,.192,.326,.282,.608,77,22,3,0,0,1,1
17,UT,Justin Christian\chrisju01,32,34,61,56,6,7,1,0,0,2,2,1,5,3,.125,.197,.143,.340,0,8,0,0,0,0,0
18,LF,Xavier Nady\nadyxa01,33,19,57,50,6,12,3,1,1,7,0,0,6,13,.240,.333,.400,.733,109,20,5,1,0,0,0
19,2B,Charlie Culberson\culbech01,23,6,23,22,0,3,0,0,0,1,0,0,0,7,.136,.136,.136,.273,-22,3,0,0,1,0,0
20,3B,Conor Gillaspie*\gillaco01,24,6,20,20,2,3,1,0,0,2,0,0,0,2,.150,.150,.200,.350,-1,4,0,0,0,0,0
21,OF,Francisco Peguero\peguefr01,24,17,16,16,6,3,0,0,0,0,3,0,0,7,.188,.188,.188,.375,8,3,0,0,0,0,0
22,C,Eli Whiteside\whiteel03,32,12,14,11,3,1,1,0,0,2,0,0,1,4,.091,.214,.182,.396,15,2,0,1,0,1,0
23,P,Matt Cain\cainma01,27,33,84,74,6,13,2,0,1,6,0,0,2,33,.176,.197,.243,.441,25,18,0,0,8,0,0
24,P,Madison Bumgarner\bumgama01,22,30,75,68,4,11,1,0,2,6,0,0,1,25,.162,.174,.265,.439,23,18,0,0,6,0,0
25,P,Barry Zito*\zitoba01,34,31,69,53,3,4,0,0,0,2,0,0,6,12,.075,.169,.075,.245,-26,4,1,0,10,0,0
26,P,Ryan Vogelsong\vogelry01,34,29,66,54,5,5,1,0,0,0,0,0,3,31,.093,.155,.111,.266,-22,6,1,1,8,0,0
27,P,Tim Lincecum*\linceti01,28,31,61,45,2,4,0,0,0,3,0,0,6,26,.089,.196,.089,.285,-14,4,0,0,10,0,0
28,P,Santiago Casilla\garcija01,31,68,3,3,0,1,0,0,0,1,0,0,0,1,.333,.333,.333,.667,92,1,0,0,0,0,0
29,P,Eric Hacker#\hackeer01,29,4,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
30,P,Clay Hensley\henslcl01,32,57,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0
31,P,Jeremy Affeldt*\affelje01,33,62,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0
32,P,Yusmeiro Petit\petityu01,27,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
33,P,Brad Penny\pennybr01,34,22,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0
34,P,Dan Otero\oteroda01,27,12,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
