Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Yadier Molina\molinya01,23,129,461,417,29,90,26,0,6,49,1,2,26,41,.216,.274,.321,.595,53,134,15,8,8,2,2
2,1B,Albert Pujols\pujolal01,26,143,634,535,119,177,33,1,49,137,7,2,92,50,.331,.431,.671,1.102,178,359,20,4,0,3,28
3,2B,Aaron Miles#\milesaa01,29,135,471,426,48,112,20,5,2,30,2,1,38,42,.263,.324,.347,.672,74,148,8,2,2,3,9
4,SS,David Eckstein\eckstda01,31,123,552,500,68,146,18,1,2,23,7,6,31,41,.292,.350,.344,.694,80,172,7,15,3,3,0
5,3B,Scott Rolen\rolensc01,31,142,594,521,94,154,48,1,22,95,7,4,56,69,.296,.369,.518,.887,126,270,10,9,0,8,7
6,LF,So Taguchi\tagucso01,36,134,361,316,46,84,19,1,2,31,11,3,32,48,.266,.335,.351,.686,78,111,9,2,9,2,1
7,CF,Jim Edmonds*\edmonji01,36,110,408,350,52,90,18,0,19,70,4,0,53,101,.257,.350,.471,.822,110,165,11,0,0,5,7
8,RF,Juan Encarnacion\encarju01,30,153,598,557,74,155,25,5,19,79,6,5,30,86,.278,.317,.443,.760,93,247,11,4,1,6,6
9,UT,Scott Spiezio#\spiezsc01,33,119,321,276,44,75,15,4,13,52,1,0,37,66,.272,.366,.496,.862,120,137,1,5,1,2,1
10,OF,Chris Duncan*\duncach01,25,90,314,280,60,82,11,3,22,43,0,0,30,69,.293,.363,.589,.952,140,165,4,2,0,2,0
11,2B,Hector Luna\lunahe01,26,76,245,223,27,65,14,1,4,21,5,3,21,34,.291,.355,.417,.772,99,93,3,1,0,0,1
12,LF,John Rodriguez*\rodrijo03,28,102,212,183,31,55,12,3,2,19,0,0,21,45,.301,.374,.432,.806,108,79,9,3,1,4,1
13,2B,Ronnie Belliard\belliro01,31,54,211,194,20,46,9,1,5,23,0,3,15,36,.237,.295,.371,.666,71,72,9,1,1,0,2
14,C,Gary Bennett\bennega01,34,60,170,157,13,35,5,0,4,22,0,0,11,30,.223,.274,.331,.605,55,52,3,0,2,0,2
15,RF,Preston Wilson\wilsopr01,31,33,120,111,18,27,3,0,8,17,6,0,7,27,.243,.300,.486,.786,98,54,2,2,0,0,1
16,OF,Skip Schumaker*\schumsk01,26,28,60,54,3,10,1,0,1,2,2,1,5,6,.185,.254,.259,.513,33,14,1,0,1,0,1
17,UT,Timo Perez*\perezti01,31,23,35,31,3,6,1,0,1,3,0,0,3,4,.194,.286,.323,.608,57,10,0,1,0,0,1
18,LF,Larry Bigbie*\bigbila01,28,17,28,25,2,6,1,0,0,1,0,0,3,9,.240,.321,.280,.601,58,7,1,0,0,0,0
19,MI,Jose Vizcaino#\vizcajo01,38,16,25,23,3,8,3,0,1,3,0,0,1,4,.348,.375,.609,.984,148,14,2,0,1,0,0
20,UT,John Gall\galljo01,28,8,12,12,1,3,0,0,0,1,0,0,0,5,.250,.250,.250,.500,30,3,0,0,0,0,0
21,C,Mike Rose#\rosemi01,29,10,9,9,0,2,0,0,0,1,0,0,0,4,.222,.222,.222,.444,16,2,0,0,0,0,0
22,IF,John Nelson\nelsojo02,27,8,5,5,2,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-100,0,0,0,0,0,0
23,P,Jason Marquis*\marquja01,27,45,85,78,8,14,4,1,0,5,0,0,2,14,.179,.210,.256,.466,20,20,2,1,4,0,0
24,P,Chris Carpenter\carpech01,31,30,80,71,2,9,0,0,0,2,0,0,0,27,.127,.127,.127,.254,-34,9,0,0,9,0,0
25,P,Jeff Suppan\suppaje01,31,30,70,55,4,12,1,0,0,6,0,1,5,11,.218,.295,.236,.531,40,13,0,1,9,0,0
26,P,Mark Mulder*\muldema01,28,16,36,25,5,7,2,0,1,5,0,0,5,8,.280,.400,.480,.880,126,12,0,0,6,0,0
27,P,Jeff Weaver\weaveje01,29,17,35,27,1,3,1,0,0,3,0,0,3,12,.111,.200,.148,.348,-8,4,1,0,5,0,0
28,P,Anthony Reyes\reyesan01,24,16,27,25,1,3,0,0,0,0,0,0,0,10,.120,.120,.120,.240,-38,3,0,0,2,0,0
29,P,Sidney Ponson\ponsosi01,29,12,21,13,1,3,0,0,0,1,0,1,3,6,.231,.375,.231,.606,62,3,0,0,5,0,0
30,P,Josh Hancock\hancojo01,28,60,8,6,0,0,0,0,0,0,0,0,1,6,.000,.143,.000,.143,-58,0,0,0,1,0,0
31,P,Adam Wainwright\wainwad01,24,58,6,6,2,3,1,0,1,1,0,0,0,0,.500,.500,1.167,1.667,311,7,0,0,0,0,0
32,P,Jorge Sosa\sosajo02,28,19,4,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0
33,P,Brad Thompson\thompbr01,24,41,2,2,0,1,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,160,1,0,0,0,0,0
